Genes	Tools				
C4orf32	Nearest PoPS				
TBL1XR1	Nearest PoPS				
VWC2	Nearest PoPS				
FBXW7	Nearest PoPS				
GRM7	Nearest PoPS				
SHANK2	Nearest PoPS				
UNC5D	Nearest PoPS				
SOX4	Nearest PoPS				
FANCL	Nearest PoPS				
FAM135B	Nearest PoPS				
HACE1	Nearest PoPS				
ZFHX4	Nearest PoPS				
GPR26	Nearest PoPS				
SEL1L	Nearest PoPS				
SCAPER	Nearest PoPS				
LHCGR	Nearest PoPS				
RIT2	MAGMA PoPS				
EP300	MAGMA PoPS				
PCSK1	MAGMA PoPS				
NCAM1	MAGMA PoPS				
JUND	MAGMA PoPS				
TNKS2	MAGMA PoPS				
NTM	MAGMA PoPS				
CREBBP	MAGMA PoPS				
DNMT3A	MAGMA PoPS				
PSIP1	MAGMA PoPS				
PSMD2	MAGMA PoPS				
SGCZ	MAGMA PoPS				
POR	MAGMA PoPS				
PSMA5	MAGMA PoPS				
WWP1	MAGMA PoPS				
EPHB1	MAGMA PoPS				
FBRS	MAGMA PoPS				
CACNA2D2	MAGMA PoPS				
INS	MAGMA PoPS				
FOXP2	MAGMA PoPS				
EFNA5	MAGMA PoPS				
ATP9A	MAGMA PoPS				
PYGB	MAGMA PoPS				
PAX6	MAGMA PoPS				
BBS4	MAGMA PoPS				
ZNF423	MAGMA PoPS				
FAM184A	MAGMA PoPS				
SEMA6D	MAGMA PoPS				
PAN3	MAGMA PoPS				
DNAJB2	MAGMA PoPS				
PPP6R3	MAGMA PoPS				
MAP1LC3A	MAGMA PoPS				
PSMC5	MAGMA PoPS				
ACP1	MAGMA PoPS				
KCTD8	MAGMA PoPS				
PTPRM	MAGMA PoPS				
ARHGAP35	MAGMA PoPS				
WARS2	MAGMA PoPS				
C11orf96	MAGMA PoPS				
PLEKHA5	MAGMA PoPS				
PAX5	MAGMA PoPS				
PCSK7	MAGMA PoPS				
ADARB2	MAGMA PoPS				
MEF2C	MAGMA PoPS				
AFF3	MAGMA PoPS				
MPPED2	MAGMA PoPS				
SMARCC2	MAGMA PoPS				
RC3H1	MAGMA PoPS				
ARHGEF7	MAGMA PoPS				
SMAD3	MAGMA PoPS				
CMIP	MAGMA PoPS				
HDAC5	MAGMA PoPS				
RNF20	MAGMA PoPS				
MAP2K2	MAGMA PoPS				
BAD	MAGMA PoPS				
SNX14	MAGMA PoPS				
DPF3	MAGMA PoPS				
DLG2	MAGMA PoPS				
TLE1	MAGMA PoPS				
RORA	MAGMA PoPS				
FAM65B	MAGMA PoPS				
DSCAM	MAGMA PoPS				
SP1	MAGMA PoPS				
PCDH8	MAGMA PoPS				
ADCY6	MAGMA PoPS				
